DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,BIT
0.0,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,
0.6,,,,,,,,,,,,,,,,,,,
0.7,,,,,,,,,,,,,,,,,,,
0.8,,,,,,,,,,,,,,,,,,,
0.9,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,
1.1,,,,,,,,,,,,,,,,,,,
1.2,,,,,,,,,,,,,,,,,,,
1.3,,,,,,,,,,,,,,,,,,,
1.4,,,,,,,,,,,,,,,,,,,
1.5,,,,,,,,,,,,,,,,,,,
1.6,,,,,,,,,,,,,,,,,,,
1.7,,,,,,,,,,,,,,,,,,,
1.8,,,,,,,,,,,,,,,,,,,
1.9,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,
2.1,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,
2.3,,,,,,,,,,,,,,,,,,,
2.4,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,
2.6,,,,,,,,,,,,,,,,,,,
2.7,,,,,,,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,,,,,,,
2.9,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,
3.1,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,
3.3,,,,,,,,,,,,,,,,,,,
3.4,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,
3.6,,,,,,,,,,,,,,,,,,,
3.7,,,,,,,,,,,,,,,,,,,
3.8,,,,,,,,,,,,,,,,,,,
3.9,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,
4.1,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,
4.3,,,21.921246,,,,,,,,,,,,,,,,
4.4,,,22.89654,,,,,,,,,,,,,,,,
4.5,,,24.013605,,,,,,,,,,,,,,,,
4.6,,,24.855141,,,,,,,,,,,,,,,,
4.7,,,26.989374,,,,,,,,,,,,,,,,
4.8,,,29.602757,,,,,,,,,,,,,,,,
4.9,,,33.972012,,,,,,,,,,,,,,,,
5.0,,,38.010677,,,,,,,,,,,,,,,,
5.1,,,41.492615,,,,,,,,,,,,,,,,
5.2,26.484533,,41.890423,,,,,,,,,,,,,,,,
5.3,26.411364,,40.606255,,,,,,,,,,,,,,,,
5.4,26.440512,,37.03492,,,,,,,,,,,,,,,,
5.5,26.498512,,33.716377,,,,,,,,,,,,,,,,
5.6,26.389606,,31.21623,,,,,,,,,,,,,,,,
5.7,26.482149,,30.32831,,,,,,,,,,,,,,,,
5.8,26.475115,,29.268654,,,,,,,,,,,,,,,,
5.9,26.405998,,27.783718,,,,,,,,,,,,,,,,
6.0,26.513981,,26.388922,,,,,,,,,,,,,,,,
6.1,26.437471,,24.673225,,,,,,,,,,,,,,,,
6.2,26.430319,,22.976593,,,,,,,,,,,,,,,,
6.3,26.472879,,22.434345,,,,,,,,,,,,,,,,
6.4,26.409784,,23.262415,,,,,,,,,,,,,,,,
6.5,26.465132,,24.005312,,,,,,,,,,,,,,,,
6.6,26.459469,,23.871914,,,,,,,,,,,,,,,,
6.7,26.389338,,23.560678,,,,,,,,,,,,,,,,
6.8,26.401527,,22.967102,,,,,,,,,,,,,,,,
6.9,26.484205,,23.617748,,,,,,,,,,,,,,,,
7.0,26.429276,,24.081512,,,,,,,,,,,,,,,,
7.1,26.427101,,25.501635,,,,,,,,,,,,,,,,
7.2,26.371038,,25.31123,,,,,,,,,,,,,,,,
7.3,26.41795,,25.613045,,,,,,,,,,,,,,,,
7.4,26.40266,,24.10491,,,,,,,,,,,,,,,,
7.5,26.456846,,23.975042,,,,,,,,,,,,,,,,
7.6,26.457262,,23.077162,,,,,,,,,,,,,,,,
7.7,26.44552,,23.921501,,,,,,,,,,,,,,,,
7.8,26.496307,,24.118471,,,,,,,,,,,,,,,,
7.9,26.440483,,24.912271,,,,,,,,,,,,,,,,
